PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure.1,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR,Model,Material,USD Price
INNSA1,2025-10-28,301049751,73239990,th5170 steel cutlery holder (qty:600 pcs/usd 2.03 per pcs) th5170 steel cutlery holder (qty:600 pcs/usd 2.03 per pcs),NA,NA,NA,600 pcs,NA,NA,NA,NA,290.0,kgs,401.7253103,116500.34,4.529033938,1313.419842,32736.6,NA,steel,usd 2.03
INNSA1,2025-10-28,301049751,73231000,8001-2 steel scrubber 2pcs set (qty: 336000 sets/usd 0.139 per sets)8001-2 steel scrubber 2pcs set (qty: 336000 sets/usd 0.139 p,NA,NA,NA,2pcs,NA,NA,NA,NA,9800.0,kgs,440.6022184,4317901.74,4.967330534,48679.83923,1898149.5,NA,steel,usd 0.139
INNSA1,2025-10-23,301049751,73239990,"mild steel multi function cloth stand (ryx-02-020) (qty: 1,232 pcs/cny:101 per pcs)mild steel multi function cloth stand (ryx-02-020) (qty: 1,2",NA,NA,NA,232 pcs,NA,NA,NA,NA,4004.0,kgs,408.893663836164,1637210.23,4.609849648660246,18457.83799323563,460056.0,NA,steel,NA
INNSA1,2025-10-13,301049751,73239990,sb-12 steel tea strainer big (qty 6336 pcs/usd 0.973 per pcs)sb-12 steel tea strainer big (qty 6336 pcs/usd 0.973 per pcs,NA,NA,NA,6336 pcs,NA,NA,NA,NA,1548.8,kgs,378.4578447830578,586155.51,4.219151000925951,6534.621070234112,164709.7,NA,steel,usd 0.973
INNSA1,2025-10-13,301049751,73239990,sb-12 steel tea strainer big (qty 43038 pcs/usd 0.9718 per pcs)sb-12 steel tea strainer big (qty 43038 pcs/usd 0.9718 per p,NA,NA,NA,43038 pcs,NA,NA,NA,NA,10042.2,kgs,399.7396745733008,4014265.76,4.456406628464889,44752.12664437012,1128008.7,NA,steel,usd 0.9718
INNSA1,2025-10-08,301049751,73239990,steel hanger with hook (sl-89) (qty:70056 pcs/cny:7.45 per pcs)steel hanger with hook (sl-89) (qty:70056 pcs/:7.45,NA,NA,NA,70056 pcs,NA,NA,NA,NA,15568.0,kgs,432.1581763874615,6727838.49,4.817816905099905,75003.77357859531,1890522.7,NA,steel,NA
INNSA1,2025-10-06,301049751,73239990,steel hanger 10pcs set (am-969) (qty: 480 set/usd 0.819 perset)steel hanger 10pcs set (am-969) (qty: 480 set/usd 0.819 per,NA,NA,NA,10pcs,NA,NA,NA,NA,380.0,kgs,100.4420789473684,38167.99,1.119755618142346,425.5071348940913,10725.3,NA,steel,usd 0.819
INNSA1,2025-10-01,301049751,73239990,am-967 steel fruit basket (qty 400 pcs/usd 1.031 per pcs) am-967 steel fruit basket (qty 400 pcs/usd 1.031 per pcs),NA,NA,NA,400 pcs,NA,NA,NA,NA,460.0,kgs,85.37782608695653,39273.8,0.9609209463923076,442.0236353404615,11036.0,NA,steel,usd 1.031
INNSA1,2025-10-01,301049751,73239990,am-966 steel fruit basket (qty 400 pcs/usd 1.017 per pcs) am-966 steel fruit basket (qty 400 pcs/usd 1.017 per pcs),NA,NA,NA,400 pcs,NA,NA,NA,NA,310.0,kgs,124.9693225806452,38740.49,1.406520231633598,436.0212718064153,10886.1,NA,steel,usd 1.017
INNSA1,2025-10-01,301049751,73239990,am-965 steel spoon & fork holder (qty 480 pcs/usd 0.734 perpcs)am-965 steel spoon & fork holder (qty 480 pcs/usd 0.734 per,NA,NA,NA,480 pcs,NA,NA,NA,NA,168.0,kgs,199.7157142857143,33552.24,2.24778519173567,377.6279122115926,9428.1,NA,steel,usd 0.734
